소재지전체주소 상호명,동
서울특별시 종로구 196번지 지하1층,낙원동
서울특별시 종로구 66-32번지 (지하1층),평창동
서울특별시 종로구 238번지 신문로BD 지상1층,신문로1가
서울특별시 종로구 268-2번지 지상1층,효제동
서울특별시 종로구 50-42번지 지상2층,동숭동
서울특별시 종로구 330-5번지 2층,창신동
서울특별시 종로구 15-44번지,혜화동
서울특별시 종로구 Feb-45 1층,연건동
서울특별시 종로구 166-161번지 지상2층,누상동
서울특별시 종로구 139-2번지 1층,연건동
서울특별시 종로구 210번지 (지상2층),낙원동
서울특별시 종로구 16-1번지 3층,명륜4가
"서울특별시 종로구 41-9번지 (지상8,9층)",명륜2가
서울특별시 종로구 188번지 지하1층,명륜2가
서울특별시 종로구 91-3번지,홍지동
서울특별시 종로구 7-11번지 지상 3층,관철동
서울특별시 종로구 72-70번지 지상1층,숭인동
서울특별시 종로구 16번지 (지하1층),명륜3가
서울특별시 종로구 180번지 스타골드빌딩,관철동
서울특별시 종로구 8-4번지 1층,종로2가
서울특별시 종로구 11-24번지,관철동
서울특별시 종로구 10번지 지상1층,돈의동
서울특별시 종로구 182-2번지 2층,종로5가
서울특별시 종로구 45-379번지 (지상1층),무악동
서울특별시 종로구 200-8번지 3층,숭인동
서울특별시 종로구 147-2번지 (지상1층),통인동
서울특별시 종로구 263번지 지상3층,창신동
서울특별시 종로구 580-7번지,창신동
서울특별시 종로구 16-31번지,명륜1가
"서울특별시 종로구 145번지 롯데미도파빌딩 지하52호,53호",당주동
서울특별시 종로구 44번지 지상1층,신영동
서울특별시 종로구 5번지 (지하2층),종로4가
서울특별시 종로구 65-2번지,효제동
서울특별시 종로구 171번지 1층,당주동
서울특별시 종로구 58-1번지 외3필지,신문로1가
서울특별시 종로구 226-2번지 지상1층,숭인동
서울특별시 종로구 143-2번지 지상1층,혜화동
서울특별시 종로구 72-4번지,명륜4가
서울특별시 종로구 299-1번지 (지상1층),평창동
서울특별시 종로구 682번지,숭인동
서울특별시 종로구 189번지 (지하1층),숭인동
서울특별시 종로구 151-2번지 지상1층,평창동
"서울특별시 종로구 148번지 지상1층, 1호",익선동
서울특별시 종로구 266-2번지,창신동
서울특별시 종로구 11-1번지,관철동
서울특별시 종로구 233-1번지,효제동
서울특별시 종로구 15-1번지,명륜1가
서울특별시 종로구 46-1419번지 지상1층,무악동
서울특별시 종로구 158번지 1층,낙원동
서울특별시 종로구 580-3번지,창신동
서울특별시 종로구 43 경희궁자이 3단지,평동
서울특별시 종로구 14-8번지,관철동
서울특별시 종로구 766번지,숭인동
서울특별시 종로구 21-9,명륜2가
"서울특별시 종로구 30번지 (지상1층,30,31번지)",체부동
서울특별시 종로구 19-1번지 4층,관철동
서울특별시 종로구 1410 (지상1층),숭인동
서울특별시 종로구 55-1번지,낙원동
서울특별시 종로구 190-1번지 지상1층,혜화동
서울특별시 종로구 59-3번지,명륜4가
서울특별시 종로구 390-1,숭인동
서울특별시 종로구 142-2번지,명륜2가
서울특별시 종로구 1-60번지,동숭동
서울특별시 종로구 11-5번지,관철동
서울특별시 종로구 35-9번지 지상1층,충신동
서울특별시 종로구 27-17번지 (지상1층),충신동
서울특별시 종로구 184번지 지하1층,명륜2가
서울특별시 종로구 42-4번지 지하1층,관철동
서울특별시 종로구 99번지 (지상1층),인사동
서울특별시 종로구 580-3번지,창신동
서울특별시 종로구 464-8번지,창신동
서울특별시 종로구 211번지 지상4층,명륜2가
서울특별시 종로구 1-83번지,동숭동
서울특별시 종로구 90번지,명륜4가
서울특별시 종로구 191-2번지,청진동
서울특별시 종로구 190-1번지 1층,숭인동
서울특별시 종로구 20-10번지,창신동
서울특별시 종로구 1-2번지 1층,내자동
서울특별시 종로구 193-11번지 (지상2층),종로5가
서울특별시 종로구 498번지 (2층),창신동
서울특별시 종로구 225-6번지 지상1층,원남동
서울특별시 종로구 74-38번지,혜화동
서울특별시 종로구 596번지,평창동
서울특별시 종로구 19-6번지 지상2층,관철동
서울특별시 종로구 150-2번지 지상2층,명륜2가
서울특별시 종로구 101번지,교북동
서울특별시 종로구 32-2번지 지상 1층,누상동
서울특별시 종로구 195-1,평창동
서울특별시 종로구 12-8번지,봉익동
"서울특별시 종로구 92번지 지하1층, 그랑서울 107호",청진동
서울특별시 종로구 150-5번지,평창동
서울특별시 종로구 209-1번지 양지빌딩 5층,청진동
서울특별시 종로구 37번지 지하1층,돈의동
서울특별시 종로구 14-3번지 지상 4층,관철동
서울특별시 종로구 197-6번지,연건동
서울특별시 종로구 1-87번지,동숭동
서울특별시 종로구 161-10번지 지상1층,명륜2가
"서울특별시 종로구 33-2번지 지상1,2층",명륜2가
서울특별시 종로구 23-74번지 지상1층,창신동
서울특별시 종로구 47번지 (지상1층),교남동
서울특별시 종로구 56-42번지 중앙빌딩 1층,숭인동
서울특별시 종로구 246 D타워,청진동
서울특별시 종로구 13-1 (지상1층),관철동
서울특별시 종로구 14번지 트윈트리 A동 B202호,중학동
서울특별시 종로구 208-39번지 (1층),부암동
서울특별시 종로구 8-1번지 (지상1층),봉익동
서울특별시 종로구 67-2번지 (2층),통의동
서울특별시 종로구 583-19번지 (1층),창신동
서울특별시 종로구 65-2번지 지상2층,효제동
서울특별시 종로구 1-96번지 4층,동숭동
서울특별시 종로구 184번지,명륜2가
서울특별시 종로구 144-6번지,소격동
